has_mcq,reading_time_avg,grade_level_sum,story_type,freadom_point,reading_count,view_count,like_count,is_published,mcq,landscape,experience_count,view_count-level_1:easy,view_count-level_1:hard,view_count-level_2:easy,view_count-level_2:hard,view_count-level_3:easy,view_count-level_3:hard,view_count-level_4:easy,view_count-level_4:hard,view_count-level_5:easy,view_count-level_5:hard,view_count-level_6:easy,view_count-level_6:hard,view_count-level_7:easy,view_count-level_7:hard,view_count-level_8:hard,view_count-level_9:easy,view_count-level_9:hard,completed_count-level_8:easy,completed_count-level_1:easy,completed_count-level_1:hard,completed_count-level_2:easy,completed_count-level_2:hard,completed_count-level_3:easy,completed_count-level_3:hard,completed_count-level_4:easy,completed_count-level_4:hard,completed_count-level_5:easy,completed_count-level_5:hard,completed_count-level_6:easy,completed_count-level_6:hard,completed_count-level_7:easy,completed_count-level_7:hard,completed_count-level_8:hard,completed_count-level_9:easy,completed_count-level_9:hard,reading_time_avg,grade_level_sum,story_id_code
False,7.5,12.5,read,0,674,935,92,True,False,False,46,0,0,0,0,0,0,1,1,1,133,125,245,227,197,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,112,67,224,101,157,0.0,0.0,0.0,7.5,12.5,1714
False,7.5,2.5,read,0,726,988,73,True,False,False,40,74,48,93,213,121,235,25,141,2,18,0,12,0,0,0.0,0.0,0.0,0.0,22,32,35,183,60,203,15,138,1,11,0,11,0,0,0.0,0.0,0.0,7.5,2.5,1644
True,3.5,3.5,read,0,1374,1860,158,True,True,False,46,31,42,283,355,305,445,53,241,11,35,9,26,0,1,0.0,0.0,0.0,0.0,16,35,153,290,165,377,31,222,5,30,6,24,0,1,0.0,0.0,0.0,3.5,3.5,652
True,7.5,5.5,read,0,2452,3308,264,True,True,False,116,24,13,73,74,175,357,364,625,317,644,152,390,20,58,0.0,0.0,0.0,0.0,11,5,45,58,86,277,184,500,195,541,101,352,15,46,0.0,0.0,0.0,7.5,5.5,1969
True,7.5,7.5,read,0,2205,2946,279,True,True,False,115,0,1,0,0,1,0,163,410,365,678,321,678,84,263,0.0,0.0,0.0,0.0,0,1,0,0,0,0,69,289,184,544,196,582,64,249,0.0,0.0,0.0,7.5,7.5,680
True,7.5,7.5,read,0,4164,6239,572,True,True,False,91,107,31,153,115,291,281,847,695,1192,780,566,362,382,78,4.0,239.0,1.0,171.0,44,22,72,91,148,224,400,526,647,618,369,322,257,59,4.0,150.0,1.0,7.5,7.5,1086
True,7.5,7.5,read,0,4633,6297,462,True,True,False,186,1,59,0,245,195,358,707,740,717,885,494,839,523,596,0.0,0.0,0.0,0.0,1,43,0,216,116,304,371,501,437,669,345,724,382,500,0.0,0.0,0.0,7.5,7.5,1597
True,7.5,7.0,read,0,1140,1752,126,False,True,False,134,17,18,46,92,105,155,117,133,293,117,416,154,2,11,0.0,0.0,0.0,0.0,11,10,29,61,56,117,60,96,169,86,253,125,2,9,0.0,0.0,0.0,7.5,7.0,1037
True,12.5,5.0,read,0,171,218,37,False,True,False,18,0,0,0,4,2,19,12,37,23,36,33,30,1,1,0.0,0.0,0.0,0.0,0,0,0,4,2,15,6,31,16,29,22,27,0,1,0.0,0.0,0.0,12.5,5.0,1747
True,7.5,11.5,read,0,1024,1380,133,True,True,False,52,0,1,0,2,0,5,17,29,34,170,240,411,206,279,0.0,0.0,0.0,0.0,0,0,0,2,0,5,8,23,19,144,118,351,105,233,0.0,0.0,0.0,7.5,11.5,1572
