"user_index","child_id","item_rank","story_id"
89,16875,3,"60"
89,16875,4,"63"
89,16875,5,"77"
89,16875,6,"95"
89,16875,7,"96"
89,16875,8,"146"
89,16875,9,"151"
89,16875,10,"170"
90,17202,1,"0"
90,17202,2,"14"
90,17202,3,"41"
90,17202,4,"68"
90,17202,5,"75"
90,17202,6,"82"
90,17202,7,"142"
90,17202,8,"164"
90,17202,9,"280"
90,17202,10,"570"
91,17513,1,"24"
91,17513,2,"34"
91,17513,3,"60"
91,17513,4,"63"
91,17513,5,"77"
91,17513,6,"95"
91,17513,7,"96"
91,17513,8,"146"
91,17513,9,"151"
91,17513,10,"170"
92,17943,1,"0"
92,17943,2,"9"
92,17943,3,"17"
92,17943,4,"30"
92,17943,5,"41"
92,17943,6,"68"
92,17943,7,"75"
92,17943,8,"82"
92,17943,9,"142"
92,17943,10,"164"
93,18409,1,"24"
93,18409,2,"34"
93,18409,3,"60"
93,18409,4,"63"
93,18409,5,"77"
93,18409,6,"95"
93,18409,7,"96"
93,18409,8,"146"
93,18409,9,"151"
93,18409,10,"170"
94,18530,1,"24"
94,18530,2,"34"
94,18530,3,"60"
94,18530,4,"63"
94,18530,5,"77"
94,18530,6,"95"
94,18530,7,"96"
94,18530,8,"146"
94,18530,9,"151"
94,18530,10,"170"
95,18558,1,"9"
95,18558,2,"41"
95,18558,3,"75"
95,18558,4,"109"
95,18558,5,"142"
95,18558,6,"280"
95,18558,7,"356"
95,18558,8,"570"
95,18558,9,"944"
95,18558,10,"1144"
96,18609,1,"24"
96,18609,2,"34"
96,18609,3,"60"
96,18609,4,"63"
96,18609,5,"77"
96,18609,6,"95"
96,18609,7,"96"
96,18609,8,"146"
96,18609,9,"151"
96,18609,10,"170"
97,19884,1,"24"
97,19884,2,"34"
97,19884,3,"60"
97,19884,4,"63"
97,19884,5,"77"
97,19884,6,"96"
97,19884,7,"146"
97,19884,8,"151"
97,19884,9,"170"
97,19884,10,"194"
98,20857,1,"24"
98,20857,2,"34"
98,20857,3,"60"
98,20857,4,"63"
98,20857,5,"77"
98,20857,6,"95"
98,20857,7,"96"
98,20857,8,"146"
98,20857,9,"151"
98,20857,10,"170"
99,21259,1,"24"
99,21259,2,"34"
99,21259,3,"60"
99,21259,4,"63"
99,21259,5,"77"
99,21259,6,"95"
99,21259,7,"146"
99,21259,8,"151"
99,21259,9,"170"
99,21259,10,"194"
100,21802,1,"24"
100,21802,2,"34"
100,21802,3,"60"
100,21802,4,"63"
100,21802,5,"77"
100,21802,6,"95"
100,21802,7,"96"
100,21802,8,"146"
100,21802,9,"151"
100,21802,10,"170"
101,21978,1,"24"
101,21978,2,"34"
101,21978,3,"60"
101,21978,4,"63"
101,21978,5,"77"
101,21978,6,"95"
101,21978,7,"96"
101,21978,8,"146"
101,21978,9,"151"
101,21978,10,"170"
102,22009,1,"24"
102,22009,2,"34"
102,22009,3,"60"
102,22009,4,"63"
102,22009,5,"77"
102,22009,6,"95"
102,22009,7,"96"
102,22009,8,"146"
102,22009,9,"151"
102,22009,10,"170"
103,22056,1,"24"
103,22056,2,"34"
103,22056,3,"60"
103,22056,4,"63"
103,22056,5,"77"
103,22056,6,"95"
103,22056,7,"96"
103,22056,8,"146"
103,22056,9,"151"
103,22056,10,"170"
104,22315,1,"24"
104,22315,2,"34"
104,22315,3,"60"
104,22315,4,"63"
104,22315,5,"77"
104,22315,6,"96"
104,22315,7,"146"
104,22315,8,"151"
104,22315,9,"170"
104,22315,10,"194"
105,22941,1,"24"
105,22941,2,"60"
105,22941,3,"63"
105,22941,4,"77"
105,22941,5,"95"
105,22941,6,"96"
105,22941,7,"146"
105,22941,8,"151"
105,22941,9,"194"
105,22941,10,"196"
106,22978,1,"24"
106,22978,2,"34"
106,22978,3,"60"
106,22978,4,"63"
106,22978,5,"77"
106,22978,6,"95"
106,22978,7,"96"
106,22978,8,"146"
106,22978,9,"151"
106,22978,10,"170"
107,23063,1,"24"
107,23063,2,"34"
107,23063,3,"60"
107,23063,4,"63"
107,23063,5,"77"
107,23063,6,"95"
107,23063,7,"96"
107,23063,8,"146"
107,23063,9,"151"
107,23063,10,"170"
108,23403,1,"24"
108,23403,2,"34"
108,23403,3,"60"
108,23403,4,"63"
108,23403,5,"77"
108,23403,6,"95"
108,23403,7,"96"
108,23403,8,"146"
108,23403,9,"151"
108,23403,10,"170"
109,23559,1,"24"
109,23559,2,"34"
109,23559,3,"60"
109,23559,4,"63"
109,23559,5,"77"
109,23559,6,"95"
109,23559,7,"96"
109,23559,8,"146"
109,23559,9,"151"
109,23559,10,"170"
110,24078,1,"24"
110,24078,2,"34"
110,24078,3,"60"
110,24078,4,"63"
110,24078,5,"77"
110,24078,6,"95"
110,24078,7,"96"
110,24078,8,"146"
110,24078,9,"151"
110,24078,10,"170"
111,24206,1,"24"
111,24206,2,"34"
111,24206,3,"60"
111,24206,4,"63"
111,24206,5,"77"
111,24206,6,"95"
111,24206,7,"96"
111,24206,8,"146"
111,24206,9,"151"
111,24206,10,"170"
112,24275,1,"24"
112,24275,2,"34"
112,24275,3,"60"
112,24275,4,"63"
112,24275,5,"77"
112,24275,6,"95"
112,24275,7,"96"
112,24275,8,"146"
112,24275,9,"170"
112,24275,10,"194"
113,24404,1,"24"
113,24404,2,"34"
113,24404,3,"60"
113,24404,4,"63"
113,24404,5,"77"
113,24404,6,"95"
113,24404,7,"96"
113,24404,8,"146"
113,24404,9,"151"
113,24404,10,"170"
114,24613,1,"24"
114,24613,2,"34"
114,24613,3,"60"
114,24613,4,"63"
114,24613,5,"77"
114,24613,6,"95"
114,24613,7,"96"
114,24613,8,"146"
114,24613,9,"151"
114,24613,10,"170"
115,25174,1,"24"
115,25174,2,"34"
115,25174,3,"60"
115,25174,4,"63"
115,25174,5,"77"
115,25174,6,"95"
115,25174,7,"96"
115,25174,8,"146"
115,25174,9,"151"
115,25174,10,"170"
116,25237,1,"24"
116,25237,2,"34"
116,25237,3,"60"
116,25237,4,"63"
116,25237,5,"77"
116,25237,6,"95"
116,25237,7,"96"
116,25237,8,"146"
116,25237,9,"151"
116,25237,10,"170"
117,25446,1,"24"
117,25446,2,"60"
117,25446,3,"63"
117,25446,4,"77"
117,25446,5,"96"
117,25446,6,"146"
117,25446,7,"151"
117,25446,8,"170"
117,25446,9,"194"
117,25446,10,"196"
118,25475,1,"24"
118,25475,2,"34"
118,25475,3,"60"
118,25475,4,"63"
118,25475,5,"77"
118,25475,6,"95"
118,25475,7,"96"
118,25475,8,"146"
118,25475,9,"151"
118,25475,10,"170"
119,25613,1,"24"
119,25613,2,"34"
119,25613,3,"60"
119,25613,4,"63"
119,25613,5,"77"
119,25613,6,"95"
119,25613,7,"96"
119,25613,8,"146"
119,25613,9,"151"
119,25613,10,"170"
120,25685,1,"24"
120,25685,2,"34"
120,25685,3,"60"
120,25685,4,"63"
120,25685,5,"77"
120,25685,6,"95"
120,25685,7,"96"
120,25685,8,"146"
120,25685,9,"151"
120,25685,10,"170"
121,25974,1,"24"
121,25974,2,"34"
121,25974,3,"60"
121,25974,4,"63"
121,25974,5,"77"
121,25974,6,"95"
121,25974,7,"96"
121,25974,8,"146"
121,25974,9,"151"
121,25974,10,"170"
122,26650,1,"24"
122,26650,2,"34"
122,26650,3,"60"
122,26650,4,"63"
122,26650,5,"77"
122,26650,6,"95"
122,26650,7,"96"
122,26650,8,"146"
122,26650,9,"151"
122,26650,10,"170"
123,27105,1,"24"
123,27105,2,"34"
123,27105,3,"60"
123,27105,4,"63"
123,27105,5,"77"
123,27105,6,"95"
123,27105,7,"96"
123,27105,8,"151"
123,27105,9,"170"
123,27105,10,"194"
124,27313,1,"60"
124,27313,2,"77"
124,27313,3,"96"
124,27313,4,"146"
124,27313,5,"194"
124,27313,6,"196"
124,27313,7,"205"
124,27313,8,"229"
124,27313,9,"264"
124,27313,10,"272"
125,27332,1,"24"
125,27332,2,"34"
125,27332,3,"60"
125,27332,4,"63"
125,27332,5,"77"
125,27332,6,"95"
125,27332,7,"96"
125,27332,8,"146"
125,27332,9,"151"
125,27332,10,"194"
126,27797,1,"24"
126,27797,2,"34"
126,27797,3,"60"
126,27797,4,"63"
126,27797,5,"77"
126,27797,6,"95"
126,27797,7,"96"
126,27797,8,"146"
126,27797,9,"151"
126,27797,10,"170"
127,27854,1,"24"
127,27854,2,"34"
127,27854,3,"60"
127,27854,4,"63"
127,27854,5,"77"
127,27854,6,"95"
127,27854,7,"96"
127,27854,8,"146"
127,27854,9,"151"
